legal_articles,legal_violation_categories,violation_keywords,is_generic,before_legal_categories,reason_ai,original_big_category,remove_reason
《保安服务管理条例》第十六条,治安管理,ai,True,<泛类型>,保安服务条例属公共安全治安管理。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第十六条
《保安服务管理条例》第十六条、第十八条、第四十二条第一款第（四）项,治安管理,ai,True,<泛类型>,保安服务管理属社会治安领域。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第十六条、第十八条、第四十二条第一款第（四）项
《保安服务管理条例》第十六条第一款、第十八条第一款、第四十二条第一款第四项,治安管理,ai,True,<泛类型>,保安服务管理条例属社会治安管理范畴。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第十六条第一款、第十八条第一款、第四十二条第一款第四项
《保安服务管理条例》第十六条第一款、第四十二条第一款第(四)项,治安管理,ai,True,<泛类型>,保安服务管理条例属治安类管理。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第十六条第一款、第四十二条第一款第(四)项
《保安服务管理条例》第十六款第一款、第四十二条第一款第(四)项,治安管理,ai,True,<泛类型>,依据保安服务管理条例，属保安治安管理。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第十六款第一款、第四十二条第一款第(四)项
《保安服务管理条例》第十四条、第四十二条第一款第(二)项,治安管理,ai,True,<泛类型>,依据保安服务管理条例属治安领域管理。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第十四条、第四十二条第一款第(二)项
《保安服务管理条例》第四十二条,治安管理,ai,True,<泛类型>,保安服务管理条例属社会治安管理领域。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第四十二条
《保安服务管理条例》第四十二条第一款第(二)项,治安管理,ai,True,<泛类型>,保安服务管理条例属公共安全治安装领域。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第四十二条第一款第(二)项
《保安服务管理条例》第四十二条第一款第(四)项,治安管理,ai,True,<泛类型>,《保安服务管理条例》属治安管理范畴。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第四十二条第一款第(四)项
《保安服务管理条例》第四十二条第一款第(四)项之规定,治安管理,ai,True,<泛类型>,保安服务管理属社会治安管理事项。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第四十二条第一款第(四)项之规定
《保安服务管理条例》第四十二条第一款第四项,治安管理,ai,True,<泛类型>,《保安服务管理条例》属治安管理法规。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第四十二条第一款第四项
《保安服务管理条例》第四十二条第一款第四项之规定,治安管理,ai,True,<泛类型>,保安服务管理条例属治安管理范畴。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第四十二条第一款第四项之规定
《保安服务管理条例》第四十二条第一款第四项之规定和第四十三条第一款第五项,治安管理,ai,True,<泛类型>,保安服务管理条例属治安管理领域。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第四十二条第一款第四项之规定和第四十三条第一款第五项
《保安服务管理条例》第四十二条第一款第（二）项,治安管理,ai,True,<泛类型>,保安服务管理条例属公安治安管理范畴。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《保安服务管理条例》第四十二条第一款第（二）项
《信息网络传播权保护条例》第二条,公共文化与传媒,ai,True,<泛类型>,《信息网络传播权保护条例》属文化传媒领域。,公共文化与传媒,(6-7) 泛型法条被AI分为具体分类'公共文化与传媒'，应删除 | 原标记: <泛类型> | 法条: 《信息网络传播权保护条例》第二条
《借款合同》,财税与金融监管,ai,True,<泛类型>,借款合同属于信贷法律关系。,金融/信贷违规,(6-7) 泛型法条被AI分为具体分类'财税与金融监管'，应删除 | 原标记: <泛类型> | 法条: 《借款合同》
《停工、核查通知书》,建设工程与房地产,ai,True,<泛类型>,涉停工核查通知，多为建设工程监管。,建设工程,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《停工、核查通知书》
《停工整改通知书》,建设工程与房地产,ai,True,<泛类型>,停工整改多指建设施工违法。,建设工程,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《停工整改通知书》
《停工（核查）通知书》,建设工程与房地产,ai,True,<泛类型>,停工核查多涉施工建设活动。,建设工程,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《停工（核查）通知书》
《停止使用QS标识告知函》,产品质量与安全,ai,True,<泛类型>,QS标识涉及食品生产许可管理。,食品药品,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《停止使用QS标识告知函》
《健康体检管理暂行规定》第三十条的规定,卫生健康,ai,True,<泛类型>,依据健康体检管理规定，属医疗领域监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《健康体检管理暂行规定》第三十条的规定
《健康体检管理暂行规定》第二十三条,卫生健康,ai,True,<泛类型>,依据健康体检管理规定，属卫生领域。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《健康体检管理暂行规定》第二十三条
《健康体检管理暂行规定》第二十三条,卫生健康,ai,True,<泛类型>,健康体检管理规定，属医疗服务监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《健康体检管理暂行规定》第二十三条
《健康监护监督管理办法》第二十六条第五项,安全生产,ai,True,<泛类型>,《健康监护监督管理办法》属职业健康监管。,职业卫生/健康,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《健康监护监督管理办法》第二十六条第五项
《健康监护监督管理办法》第十七条第三项,安全生产,ai,True,<泛类型>,健康监护监督管理，属职业健康。,职业卫生/健康,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《健康监护监督管理办法》第十七条第三项
《健康证》,卫生健康,ai,True,<泛类型>,健康证属公共卫生管理要求。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《健康证》
《催办企业年报信息公示通知书》,市场主体与登记治理,ai,True,<泛类型>,催报企业年报信息公示事项相关。,企业信息公示,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: 《催办企业年报信息公示通知书》
《催办外商投资企业年报公告》,市场主体与登记治理,ai,True,<泛类型>,涉外商投资企业年度报告、公示义务。,企业信息公示,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: 《催办外商投资企业年报公告》
《催检公告》,未年检登记,ai,True,<泛类型>,催检公告涉及逾期未检行为。,未年检登记,(6-7) 泛型法条被AI分为具体分类'未年检登记'，应删除 | 原标记: <泛类型> | 法条: 《催检公告》
《儿童家具通用技术条件》,产品质量与安全,ai,True,<泛类型>,儿童家具技术条件属产品质量标准。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《儿童家具通用技术条件》
《儿童旅游鞋》,产品质量与安全,ai,True,<泛类型>,儿童旅游鞋属产品质量标准规范。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《儿童旅游鞋》
《儿童皮鞋》,产品质量与安全,ai,True,<泛类型>,《儿童皮鞋》属产品质量标准规范。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《儿童皮鞋》
《光宇广州市增城自来水有限公司涉案违法所得计算问题的请示》,环境保护,ai,True,<泛类型>,自来水公司违法所得计算，涉水务收费。,水资源,(6-7) 泛型法条被AI分为具体分类'环境保护'，应删除 | 原标记: <泛类型> | 法条: 《光宇广州市增城自来水有限公司涉案违法所得计算问题的请示》
《光熙门站主体及附属防水设计总说明（六）》,建设工程与房地产,ai,True,<泛类型>,为车站防水工程设计说明相关。,建设工程,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《光熙门站主体及附属防水设计总说明（六）》
《克拉玛依日报》,公共文化与传媒,ai,True,<泛类型>,报纸媒体领域，属公共文化传媒。,公共文化与传媒,(6-7) 泛型法条被AI分为具体分类'公共文化与传媒'，应删除 | 原标记: <泛类型> | 法条: 《克拉玛依日报》
《入境货物检验检疫证明》,海关/进出口,ai,True,<泛类型>,入境货物检验检疫证明属进出口监管。,海关/进出口,(6-7) 泛型法条被AI分为具体分类'海关/进出口'，应删除 | 原标记: <泛类型> | 法条: 《入境货物检验检疫证明》
《入境货物通关单》,海关/进出口,ai,True,<泛类型>,涉及入境货物报关及通关单管理。,海关/进出口,(6-7) 泛型法条被AI分为具体分类'海关/进出口'，应删除 | 原标记: <泛类型> | 法条: 《入境货物通关单》
《入院记录》,卫生健康,ai,True,<泛类型>,《入院记录》属医疗活动文书。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《入院记录》
《全国人民代表大会常务委员会关于严禁卖淫嫖娼的决定》第七条,治安管理,ai,True,<泛类型>,卖淫嫖娼属社会治安违法行为。,治安管理,(6-7) 泛型法条被AI分为具体分类'治安管理'，应删除 | 原标记: <泛类型> | 法条: 《全国人民代表大会常务委员会关于严禁卖淫嫖娼的决定》第七条
《全国人民代表大会常务委员会关于严禁卖淫嫖娼的决定》第七条之规定,*卖淫嫖娼行为*,ai,True,<泛类型>,依据专门决定规范卖淫嫖娼行为。,*卖淫嫖娼行为*,(6-6) AI分类含星号'*卖淫嫖娼行为*'，分类不确定 | 法条: 《全国人民代表大会常务委员会关于严禁卖淫嫖娼的决定》第七条之规定
《全国企业信用信息公示系统》,市场主体与登记治理,ai,True,<泛类型>,直指企业信用信息公示相关事项。,企业信息公示,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: 《全国企业信用信息公示系统》
《全国企业信用公示系统（广东）》,市场主体与登记治理,ai,True,<泛类型>,依据企业信用公示系统相关规定。,企业信息公示,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: 《全国企业信用公示系统（广东）》
《全国经济普查条例》第三十六条第一款第(二)项,统计相关,ai,True,<泛类型>,经济普查属统计领域管理规范。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第三十六条第一款第(二)项
《全国经济普查条例》第三十六条第一款第(二)项,统计相关,ai,True,<泛类型>,经济普查条例属统计领域法规。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第三十六条第一款第(二)项
《全国经济普查条例》第三十六条第一款第(二)项、第二款的规定,统计相关,ai,True,<泛类型>,依据经济普查条例，属统计违法行为。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第三十六条第一款第(二)项、第二款的规定
《全国经济普查条例》第三十六条第一款第(二)项和第二款,统计相关,ai,True,<泛类型>,经济普查属于统计活动管理范畴。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第三十六条第一款第(二)项和第二款
《全国经济普查条例》第三十六条第一款第（二）项,统计相关,ai,True,<泛类型>,经济普查条例属统计法领域管理。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第三十六条第一款第（二）项
《全国经济普查条例》第三十六条第一款第（二）项、第二款,统计相关,ai,True,<泛类型>,经济普查属统计活动范畴管理。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第三十六条第一款第（二）项、第二款
《全国经济普查条例》第三十六条第一款第（二）项及第二款,统计相关,ai,True,<泛类型>,经济普查属统计活动管理范围。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第三十六条第一款第（二）项及第二款
《全国经济普查条例》第九条第二款,统计相关,ai,True,<泛类型>,经济普查属统计活动范畴。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第九条第二款
《全国经济普查条例》第九条第二款的规定,统计相关,ai,True,<泛类型>,《全国经济普查条例》属统计领域法规。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第九条第二款的规定
"《全国经济普查条例》第九条第二款的规定,依据",统计相关,ai,True,<泛类型>,《全国经济普查条例》属统计法律规范。,统计相关,"(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济普查条例》第九条第二款的规定,依据"
《全国经济曾查条例》第三十六条第一款第（二）项和第二款,统计相关,ai,True,<泛类型>,依据全国经济普查条例，属统计管理违法。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《全国经济曾查条例》第三十六条第一款第（二）项和第二款
《全国网络预约出租汽车监管信息交互系统》,交通运输,ai,True,<泛类型>,《网络预约出租汽车监管》属交通运输监管。,交通运输违规,(6-7) 泛型法条被AI分为具体分类'交通运输'，应删除 | 原标记: <泛类型> | 法条: 《全国网络预约出租汽车监管信息交互系统》
《全国质量诚信示范企业》,产品质量与安全,ai,True,<泛类型>,《全国质量诚信示范企业》涉及产品质量管理。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《全国质量诚信示范企业》
《全市工贸企业事故防范集中攻坚行动方案》,安全生产,ai,True,<泛类型>,《工贸企业事故防范》属安全生产监管。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《全市工贸企业事故防范集中攻坚行动方案》
《全生产行政处罚自由裁量适用规则（试行）》第十条,安全生产,ai,True,<泛类型>,依据安全生产行政处罚裁量规则相关。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《全生产行政处罚自由裁量适用规则（试行）》第十条
《全省治超重点整治行动方案》,交通运输,ai,True,<泛类型>,治超行动方案属公路运输超限治理。,交通运输违规,(6-7) 泛型法条被AI分为具体分类'交通运输'，应删除 | 原标记: <泛类型> | 法条: 《全省治超重点整治行动方案》
《全省钢铁企业专项执法行动检查问题移交表（山东钢铁股份有限公司莱芜分公司）》,环境保护,ai,True,<泛类型>,《钢铁企业专项执法》通常涉排污环保问题。,环境保护,(6-7) 泛型法条被AI分为具体分类'环境保护'，应删除 | 原标记: <泛类型> | 法条: 《全省钢铁企业专项执法行动检查问题移交表（山东钢铁股份有限公司莱芜分公司）》
《全竹浆本色生活用纸》,产品质量与安全,ai,True,<泛类型>,《全竹浆本色生活用纸》属产品质量规范。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《全竹浆本色生活用纸》
《全阳泉9.13抢海尔场馆活动方案》,*市场促销活动管理*,ai,True,<泛类型>,文件为抢购活动方案，涉促销管理。,*市场促销活动管理*,(6-6) AI分类含星号'*市场促销活动管理*'，分类不确定 | 法条: 《全阳泉9.13抢海尔场馆活动方案》
《全阳泉9.13海尔场馆活动方案》,*活动组织管理*,ai,True,<泛类型>,仅为活动方案标题，无具体违法情节。,*活动组织管理*,(6-6) AI分类含星号'*活动组织管理*'，分类不确定 | 法条: 《全阳泉9.13海尔场馆活动方案》
《八片石门作业规程》,安全生产,ai,True,<泛类型>,作业规程属生产安全操作规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《八片石门作业规程》
《公共场所卫生指标及限值要求》,卫生健康,ai,True,<泛类型>,公共场所卫生标准，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生指标及限值要求》
《公共场所卫生管理条例》,卫生健康,ai,True,<泛类型>,依据公共场所卫生管理条例，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》
《公共场所卫生管理条例》第七条,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生管理规范。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第七条
《公共场所卫生管理条例》第七条;,卫生健康,ai,True,<泛类型>,公共场所卫生管理条例属卫生监管范围。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第七条;
《公共场所卫生管理条例》第七条、,卫生健康,ai,True,<泛类型>,依据公共场所卫生管理条例，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第七条、
《公共场所卫生管理条例》第七条及,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生管理。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第七条及
《公共场所卫生管理条例》第三条第(五)项、,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第(五)项、
《公共场所卫生管理条例》第三条第一款、,卫生健康,ai,True,<泛类型>,依据公共场所卫生管理条例，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款、
《公共场所卫生管理条例》第三条第一款第(五)项,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生管理领域。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第(五)项
《公共场所卫生管理条例》第三条第一款第(五)项,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第(五)项
《公共场所卫生管理条例》第三条第一款第(五)项关于“公共场所的下列项,卫生健康,ai,True,<泛类型>,属公共场所卫生管理范畴。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第(五)项关于“公共场所的下列项
《公共场所卫生管理条例》第三条第一款第一项,卫生健康,ai,True,<泛类型>,公共场所卫生管理，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第一项
《公共场所卫生管理条例》第三条第一款第一项;,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生管理规范。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第一项;
《公共场所卫生管理条例》第三条第一款第一项、,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生管理。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第一项、
《公共场所卫生管理条例》第三条第一款第三项,卫生健康,ai,True,<泛类型>,属公共场所卫生管理领域规定。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第三项
《公共场所卫生管理条例》第三条第一款第五项,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第五项
《公共场所卫生管理条例》第三条第一款第五项、,卫生健康,ai,True,<泛类型>,系公共场所卫生管理范畴，属医疗卫生。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第五项、
《公共场所卫生管理条例》第三条第一款第四项,卫生健康,ai,True,<泛类型>,公共场所卫生管理明确属医疗卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第四项
《公共场所卫生管理条例》第三条第一款第（一）项;,卫生健康,ai,True,<泛类型>,公共场所卫生管理条例属卫生监管领域。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第（一）项;
《公共场所卫生管理条例》第三条第一款第（一）项、第（二）项、第（三）项,卫生健康,ai,True,<泛类型>,涉及公共场所卫生管理规定。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第（一）项、第（二）项、第（三）项
《公共场所卫生管理条例》第三条第一款第（二）项,卫生健康,ai,True,<泛类型>,公共场所卫生管理，属医疗卫生领域。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第（二）项
《公共场所卫生管理条例》第三条第一款第（二）项、,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生管理事项。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第（二）项、
《公共场所卫生管理条例》第三条第一款第（五）项,卫生健康,ai,True,<泛类型>,公共场所卫生管理，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第（五）项
《公共场所卫生管理条例》第三条第一款第（五）项、,卫生健康,ai,True,<泛类型>,依据公共场所卫生管理条例，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第（五）项、
《公共场所卫生管理条例》第三条第一款第（五）项：“公共场所的下列项,卫生健康,ai,True,<泛类型>,涉及公共场所卫生管理规范问题。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第三条第一款第（五）项：“公共场所的下列项
《公共场所卫生管理条例》第八条,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第八条
《公共场所卫生管理条例》第八条,卫生健康,ai,True,<泛类型>,公共场所卫生管理，属医疗卫生范畴。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第八条
《公共场所卫生管理条例》第十四条、,卫生健康,ai,True,<泛类型>,依据公共场所卫生管理条例，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条、
《公共场所卫生管理条例》第十四条第一款、,卫生健康,ai,True,<泛类型>,依据公共场所卫生管理条例，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款、
《公共场所卫生管理条例》第十四条第一款第(一)项,卫生健康,ai,True,<泛类型>,公共场所卫生管理规制，属卫生领域。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款第(一)项
《公共场所卫生管理条例》第十四条第一款第(一)项;,卫生健康,ai,True,<泛类型>,依据公共场所卫生管理条例，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款第(一)项;
《公共场所卫生管理条例》第十四条第一款第(二)项,卫生健康,ai,True,<泛类型>,公共场所卫生监管，属医疗卫生范围。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款第(二)项
《公共场所卫生管理条例》第十四条第一款第(二)项;,卫生健康,ai,True,<泛类型>,公共场所卫生管理条例属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款第(二)项;
《公共场所卫生管理条例》第十四条第一款第(二)项、,卫生健康,ai,True,<泛类型>,公共场所卫生管理条例属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款第(二)项、
《公共场所卫生管理条例》第十四条第一款第(二)项及,卫生健康,ai,True,<泛类型>,适用公共场所卫生管理条例，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款第(二)项及
《公共场所卫生管理条例》第十四条第一款第(二)项和,卫生健康,ai,True,<泛类型>,《公共场所卫生管理条例》属卫生领域。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款第(二)项和
《公共场所卫生管理条例》第十四条第一款第(四)项,卫生健康,ai,True,<泛类型>,依据公共场所卫生管理条例，属卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款第(四)项
《公共场所卫生管理条例》第十四条第一款第二项;,卫生健康,ai,True,<泛类型>,公共场所卫生管理，属医疗卫生监管。,医疗卫生,(6-7) 泛型法条被AI分为具体分类'卫生健康'，应删除 | 原标记: <泛类型> | 法条: 《公共场所卫生管理条例》第十四条第一款第二项;
